trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-208.9779711069228,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-184.96548441329742,"{0: 19, 1: 1, 2: 4, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-188.08651462006495,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-31.80822767818884,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-214.80219747731823,"{0: 19, 1: 5, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-88.11473741625099,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-174.23215681763878,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-122.67858310219044,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-71.4240693154407,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,13,-25.13722984743835,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,11.030053717070377,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-99.5556614961891,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-6.3329145813586685,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-33.33806127595726,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-52.9810025053277,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,15,-87.50274244528818,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,3.0446255685507895,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,2.297683580701084,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-64.54890966513156,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,12.545439688634726,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,32.78351714910169,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.174102697092113,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-60.995400154891946,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-107.29689822129805,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,13,-35.94925377128566,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,9,19.683080483172052,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-14.675353683442507,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,1,-26.237263059620034,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,22,6.181021250076583,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-12.555387646677202,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
