trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-154.32945322650318,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.9999968750016276}",20,0,-114.72754821555152,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.9999875000260416}",30,0,-174.4015806761508,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.75, 'e': 0.9999718751318357}",25,0,-29.71043789684604,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.9999500004166653}",25,0,-185.39805728935391,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.75, 'e': 0.9999218760172474}",20,0,-82.11181157537452,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.9998875021093592}",25,0,-106.0690811457676,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.9998468789078377}",20,9,-56.64672178283274,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.75, 'e': 0.9998000066665778}",25,0,-170.0774646006157,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.75, 'e': 0.9997468856785308}",25,0,-150.4378894141045,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.9996875162757026}",25,0,-107.08493883275365,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.75, 'e': 0.9996218988291519}",30,0,-205.95967334926422,"{0: 13, 1: 6, 2: 7, 3: 2, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.9995500337489875}",25,0,-126.51671264863737,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.9994719214843659}",25,0,-45.73520206464206,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.9993875625234886}",20,0,-122.02845534188384,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9992969573935987}",35,0,-237.26236403685428,"{0: 20, 1: 0, 2: 10, 3: 2, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.9992001066609779}",20,0,-96.42738766157808,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.9990970109309432}",20,0,-143.4961431129016,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.75, 'e': 0.9989876708478425}",25,0,-215.69625736387758,"{0: 11, 1: 7, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.75, 'e': 0.9988720870950507}",25,0,-144.14097543700177,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.9987502603949663}",30,0,-178.79349315041404,"{0: 20, 1: 4, 2: 2, 3: 0, 4: 4}",0
22,False,"{'a': 0.75, 'e': 0.9986221915090054}",20,0,-46.44467792285141,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.9984878812375985}",30,0,-214.040876960918,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
24,False,"{'a': 0.75, 'e': 0.998347330420184}",20,0,-48.38445275872538,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.75, 'e': 0.9982005399352042}",30,0,-27.285275641804322,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.9980475107000991}",25,0,-126.72431608926183,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.75, 'e': 0.9978882436713011}",20,0,-104.3754720680515,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.75, 'e': 0.9977227398442284}",25,0,-79.59246633129824,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.75, 'e': 0.9975510002532796}",25,0,-134.27588421970034,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.75, 'e': 0.9973730259718263}",20,0,-167.15676691570684,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.75, 'e': 0.9971888181122075}",20,0,-63.4836798713895,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.9969983778257214}",25,0,-12.477120965607678,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.9968017063026194}",25,0,-216.0471787689033,"{0: 10, 1: 2, 2: 10, 3: 0, 4: 3}",0
34,False,"{'a': 0.75, 'e': 0.9965988047720977}",25,0,-88.92873501920926,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
35,False,"{'a': 0.75, 'e': 0.9963896745022904}",20,0,-61.670394666796696,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.75, 'e': 0.996174316800261}",20,0,-121.39052720705672,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
37,False,"{'a': 0.75, 'e': 0.9959527330119943}",30,0,-200.5257165458878,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
38,False,"{'a': 0.75, 'e': 0.9957249245223883}",25,0,-112.14389002832728,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.75, 'e': 0.9954908927552453}",30,0,-99.61126658242085,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.75, 'e': 0.9952506391732631}",20,0,-83.0224637993086,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.75, 'e': 0.9950041652780258}",20,0,-131.3034068435097,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.75, 'e': 0.9947514726099944}",25,0,-208.0376045561483,"{0: 11, 1: 2, 2: 7, 3: 3, 4: 2}",0
43,False,"{'a': 0.75, 'e': 0.9944925627484974}",20,4,-95.3006893427815,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 1}",1
44,False,"{'a': 0.75, 'e': 0.9942274373117206}",20,8,-41.26650530732187,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.75, 'e': 0.9939560979566968}",25,0,-89.3073641014394,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.75, 'e': 0.9936785463792964}",30,0,-25.101268538294445,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.75, 'e': 0.9933947843142158}",20,0,-78.0515005028358,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.75, 'e': 0.9931048135349669}",20,0,-133.44984160779424,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
49,False,"{'a': 0.75, 'e': 0.9928086358538663}",20,0,-124.74737234309796,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.75, 'e': 0.9925062531220232}",20,0,-121.95569528773586,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
51,False,"{'a': 0.75, 'e': 0.992197667229329}",25,0,-131.0355151778463,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.9918828801044445}",20,0,-150.56308501017966,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.75, 'e': 0.9915618937147881}",35,0,-258.0346619387171,"{0: 17, 1: 7, 2: 6, 3: 1, 4: 4}",0
54,False,"{'a': 0.75, 'e': 0.9912347100665236}",25,0,-126.7421785022218,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
55,False,"{'a': 0.75, 'e': 0.9909013312045479}",25,0,-87.71006983770623,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.9905617592124779}",25,0,-67.03669128009155,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.75, 'e': 0.9902159962126371}",25,0,-97.38499790884241,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.75, 'e': 0.9898640443660435}",20,0,-94.85851605960409,"{0: 10, 1: 4, 2: 3, 3: 3, 4: 0}",0
59,False,"{'a': 0.75, 'e': 0.9895059058723947}",30,0,-259.75536176307656,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
60,False,"{'a': 0.75, 'e': 0.9891415829700554}",20,2,-122.33869693176628,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
61,False,"{'a': 0.75, 'e': 0.9887710779360422}",20,0,-87.61975771717225,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.75, 'e': 0.9883943930860107}",25,0,-167.57631226395017,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
63,False,"{'a': 0.75, 'e': 0.9880115307742399}",20,0,-149.41312114760515,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
64,False,"{'a': 0.75, 'e': 0.9876224933936179}",30,0,-114.84211866426959,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
65,False,"{'a': 0.75, 'e': 0.9872272833756269}",20,0,-185.64885135039196,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
66,False,"{'a': 0.75, 'e': 0.9868259031903286}",20,8,-26.4134003546464,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.75, 'e': 0.9864183553463477}",25,0,-104.05879698710912,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
68,False,"{'a': 0.75, 'e': 0.9860046423908568}",30,0,-49.16552031949138,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
