trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.14872460100065,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999968750016276}",25,0,-29.246251824218838,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-56.362221629511446,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999718751318357}",20,0,-47.95842890151398,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-13.636061804239935,"{0: 21, 1: 9, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9999218760172474}",35,0,-73.96269674421757,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-20.61548124586988,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9998468789078377}",35,0,-52.24564856496618,"{0: 18, 1: 17, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-29.329918803908818,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9997468856785308}",30,0,-53.06166848882908,"{0: 15, 1: 15, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,-36.28344004915677,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9996218988291519}",20,0,-7.300704733526529,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-10.393038977871878,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9994719214843659}",25,0,-47.279305024223085,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9993875625234886}",20,0,-19.564671801610288,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9992969573935987}",20,0,-18.678457962511438,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-42.95498068749583,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9990970109309432}",25,0,-33.63094065994728,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-46.7824956887602,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9988720870950507}",25,0,-32.965117126611744,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-2.061966928407818,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-39.910332689745545,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-21.421957471197743,"{0: 16, 1: 9, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.07488340732752,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-36.12967017466411,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-31.18168953934191,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-10.442874822835552,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-9.09249127248403,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-38.73629780540103,"{0: 14, 1: 11, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.91519499634219,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
